物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
三和コーポ,974.025974,21000,3000円,-,2.1万円,-,-,バルコニー、エアコン、ガスコンロ対応、エレベーター、駐輪場、CATV、プロパンガス,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩11分,ワンルーム,-,21.56,-,2階,南,マンション,鉄筋コン,2階/7階建,築46年,1979年3月,要,-,相談,仲介,フリーレント1ヶ月,398220216,100345118546,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２０，７２０円　更新無,合計4.58万円（内訳：その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089883052/?bc=100345118546
三和コーポ,916.6666667,22000,3000円,-,2.2万円,-,-,バルコニー、エアコン、シューズボックス、エレベーター、即入居可、敷金不要、初期費用10万円以下、バス停徒歩3分以内、礼金1ヶ月,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩13分,ワンルーム,洋10,24,-,2階,-,マンション,鉄筋コン,2階/7階建,築46年,1979年4月,1.7万円2年,-,即,仲介,-,-,100177309701,-,2024/06/25,次回更新日は情報更新日より１５日以内,-,1ヶ月,保証会社利用必 Ｊリース・アルファー,-,保証会社・退去時メンテナンス料25300円（税込）,-,https://suumo.jp/chintai/jnc_000072176340/?bc=100177309701
三和コーポ,1573.033708,35000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、温水洗浄便座、エレベーター、CATV、照明付、プロパンガス,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩11分,1DK,-,22.25,-,3階,南,マンション,鉄筋コン,3階/7階建,築46年,1979年3月,要,-,相談,仲介,フリーレント1ヶ月,361710311,100233846873,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３１，９２０円　更新無,合計4.58万円（内訳：その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000050544749/?bc=100233846873
三和コーポ,1159.554731,25000,3000円,-,-,-,-,エアコン、エレベーター、洗面化粧台、CATV、照明付、プロパンガス,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩11分,ワンルーム,-,21.56,-,2階,南,マンション,鉄筋コン,2階/7階建,築46年,1979年3月,要,-,相談,仲介,フリーレント1ヶ月,470440218,100348353888,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２３，６８０円　更新無,合計2.42万円（内訳：清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000085726178/?bc=100348353888
第2皐月マンション,1494.565217,33000,5000円,-,-,-,-,バルコニー、エアコン、TVインターホン、室内洗濯置、エレベーター、駐輪場、礼金不要、敷金不要、IHクッキングヒーター、照明付、分譲賃貸、バイク置場、駅まで平坦、フリーレント、内装リフォーム済、家電付、家具付、敷地内ごみ置き場、都市ガス、リノベーション、敷金・礼金不要、通風良好,大分県大分市大手町１,"ＪＲ日豊本線/大分駅 歩12分
大分バス/コンパルホール入口 歩4分",ワンルーム,洋10,22.08,-,4階,東,マンション,鉄筋コン,4階/9階建,築46年,1978年9月,2万円2年,-,即,仲介,単身者可/ルームシェア不可/フリーレント1ヶ月,248529,100350330312,-,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1ヶ月,保証会社利用必 【初回保証委託料】月額総賃料の８０％ 【初回保証委託料】月額総賃料の８０％,-,自治会費　月額300円,通勤管理/リフォーム：2018年11月内装壁クロス全面貼替/家具家電１５点（冷蔵庫・洗濯機・電子レンジ・炊飯器・プロジェクター・アレクサ・エアコン・IHコンロ・LED照明器具・ベッド・マットレス・ラグマット・ローテーブル・収納ボックス・ハンガーラック）付き！！！ 照明器具はBluetooth対応スピーカー付きのLED照明！ 防犯設備には欠かせないモニター付インターフォン完備です。 ご退去時に室内清掃費 27 500円（税込）が必要です。,https://suumo.jp/chintai/jnc_000085987002/?bc=100350330312
シャルマン外堀,1720,43000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、シューズボックス、南向き、エレベーター、2口コンロ、駐輪場、全居室収納、保証人不要、ネット使用料不要、プロパンガス、IT重説 対応物件、LGBTフレンドリー、初期費用カード決済可、家賃カード決済可,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩12分,1K,洋7 K2.00,25,-,7階,南,マンション,鉄筋コン,7階/7階建,築25年,2000年3月,要,敷地内11000円,24年7月下旬,仲介,-,451-4572341,100383586970,-,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 契約時保証委託料：２２，０００円／月額保証委託料：賃料総額の２．２％又は５．５％,-,町内会費（月額）　300円,契約時に退去時のクリーニング費として￥43000が必要となります。/更新事務手数料22000円/収納手数料（月額）170円/24時間サポート費用（月額）330円/鍵セット費3300円,https://suumo.jp/chintai/jnc_000090987539/?bc=100383586970
エルグレイス大手,1678.082192,49000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、オートロック、室内洗濯置、シューズボックス、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、即入居可、最上階、対面式キッチン、照明付、バイク置場、2沿線利用可、ネット専用回線、ネット使用料不要、保証金不要、3駅以上利用可、プロパンガス、敷金・礼金不要、初期費用カード決済可,大分県大分市大手町１,"ＪＲ日豊本線/大分駅 歩13分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/牧駅 歩37分",1K,洋8 K2,29.2,-,5階,西,マンション,鉄筋コン,5階/5階建,築18年,2006年9月,1.8万円2年,-,即,仲介,-,2244974,100379810039,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時保証委託料：2.2万/月額保証委託料：賃料総額の2.2％又は5.5％ ※ペット可は2.5万/2,合計7.15万円（内訳：クリーニング費:40000円、抗菌施工代:16500円、ＳＡＴ１１９(消火用具):12760円、ＡＬＳＯＫロック:2200円）,町費:300円,-,https://suumo.jp/chintai/jnc_000038316769/?bc=100379810039
スカイコート大手町,1106.934002,53000,-,-,-,-,-,バストイレ別、バルコニー、ガスコンロ対応、TVインターホン、シューズボックス、防犯カメラ、ペット相談、保証人不要、クッションフロア、一部フローリング、和室、都市ガス、IT重説 対応物件,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩10分,1SLDK,和6 LDK12.00 納戸 3,47.88,-,2階,西,マンション,鉄筋コン,2階/9階建,築50年,1975年2月,要,-,相談,仲介,二人入居可/ペット相談,451-4505591,100379969548,129戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時月額の総賃料の80％,-,町内会費　300円（）　ライフセーブ24　1600円（）,-,https://suumo.jp/chintai/jnc_000039632882/?bc=100379969548
スカイコート大手町,1375,55000,-,11万円,-,-,-,バストイレ別、バルコニー、クロゼット、フローリング、エレベーター、即入居可、礼金不要、ペット相談、内装リフォーム済、敷金2ヶ月,大分県大分市大手町１,"ＪＲ日豊本線/大分駅 歩12分
大分バス/コンパルホール前 歩1分",1SDK,洋13 DK7 納戸 3,40,-,4階,東,マンション,鉄筋コン,4階/9階建,築50年,1975年2月,要,敷地内16500円,即,仲介,ペット相談,75770864,100382179483,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,-,合計3.85万円（内訳：安心入居サポート／抗菌施工代等）,-,ペットを飼育する場合は敷金１ヶ月要（小型犬・猫１匹まで）,https://suumo.jp/chintai/jnc_000047391788/?bc=100382179483
スカイコート大手町,1121.463078,65000,-,-,-,-,-,バストイレ別、バルコニー、ガスコンロ対応、クロゼット、TVインターホン、シューズボックス、角住戸、脱衣所、エレベーター、洗面所独立、駐輪場、即入居可、防犯カメラ、ペット相談、全居室洋室、二人入居相談、バイク置場、クッションフロア、内装リフォーム済、保証金不要、事務所相談、エレベーター2基、日勤管理、都市ガス、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可、家賃カード決済可,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩10分,2SDK,洋6 洋6 LDK10.00,57.96,-,4階,東,マンション,鉄筋コン,4階/9階建,築50年,1975年2月,要,-,即,仲介,二人入居可/ペット相談,452-4545447,100383132938,129戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時月額総賃料80％,-,町内会費　300円（月額）　ライトセーブ24　1600円（月額）,-,https://suumo.jp/chintai/jnc_000090044381/?bc=100383132938
田原ビル,1300,26000,-,-,-,-,-,エアコン、室内洗濯置、陽当り良好、角住戸、駐輪場、押入、照明付、駅まで平坦、フリーレント、外壁コンクリート、平坦地、和室、全居室6畳以上、都市ガス、敷金・礼金不要,大分県大分市大手町２,ＪＲ日豊本線/大分駅 歩13分,1K,和6,20,-,3階,東,アパート,鉄筋コン,3階/4階建,築45年,1979年11月,1.6万円2年,-,相談,仲介,フリーレント1ヶ月,144,100303805451,10戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,2.86万円,保証会社利用必 月額賃料総額の80％　最低保証料25，000円,合計7.51万円（内訳：賃貸保証料:25000円/損害保険料:16000円/鍵交換代:12100円/メンテナンス費用:22000円）,定額水道料:1500円,セブンイレブンまで140m/トキハまで450m/2面採光で開放感のあるお部屋です。,https://suumo.jp/chintai/jnc_000088209060/?bc=100303805451
関ビル,1407.657658,25000,3000円,-,-,-,-,エアコン、洗面化粧台、都市ガス,大分県大分市大手町２,ＪＲ日豊本線/大分駅 歩11分,1K,-,17.76,-,3階,南,マンション,鉄筋コン,3階/4階建,築36年,1988年11月,要,-,相談,仲介,フリーレント1ヶ月,106230302,100380622999,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２３，６８０円　更新無,合計4.58万円（内訳：鍵交換代0円/その他初期費用45760円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000090540833/?bc=100380622999
サンハイツ大手町,1769.371568,29000,2000円,-,-,-,-,バルコニー、エアコン、室内洗濯置、シューズボックス、エレベーター、駐輪場、即入居可、礼金不要、敷金不要、駅まで平坦、敷地内ごみ置き場、当社管理物件、プロパンガス、敷金・礼金不要,大分県大分市大手町２,ＪＲ日豊本線/大分駅 歩13分,ワンルーム,-,16.39,-,6階,東,マンション,鉄筋コン,6階/8階建,築38年,1987年1月,1.5万円2年,-,即,仲介,-,-,100343112201,-,2024/06/24,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 ジェイリース又はアルファー,-,町内会費　400円、くらしーど24　880円,-,https://suumo.jp/chintai/jnc_000084880125/?bc=100343112201
サンハイツ大手町,932.0578857,38000,3000円,-,-,-,-,バストイレ別、バルコニー、室内洗濯置、エレベーター、洗面所独立、CATV、プロパンガス,大分県大分市大手町２,ＪＲ日豊本線/大分駅 歩15分,1LDK,-,40.77,-,2階,南,マンション,鉄筋コン,2階/8階建,築38年,1987年1月,要,-,相談,仲介,フリーレント1ヶ月,380530201,100216184551,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３４，２４０円　更新無,合計2.75万円（内訳：清掃費27500円）,安心サポート1600円/月　その他月額負担費用200円/月,-,https://suumo.jp/chintai/jnc_000086797436/?bc=100216184551
大手町第一ハイツ,982.2090437,53000,3600円,-,5.3万円,-,-,バストイレ別、バルコニー、クロゼット、フローリング、シャワー付洗面台、TVインターホン、シューズボックス、システムキッチン、南向き、温水洗浄便座、エレベーター、洗面所独立、CATV、即入居可、照明付、保証人不要、クッションフロア、収納1間半、都市ガス、礼金1ヶ月、IT重説 対応物件,大分県大分市大手町２,"ＪＲ日豊本線/大分駅 歩15分
ＪＲ久大本線/古国府駅 歩31分
ＪＲ日豊本線/牧駅 歩34分",2LDK,和6 洋6 LDK12,53.96,-,4階,南,マンション,鉄筋コン,4階/7階建,築36年,1988年10月,要,-,即,仲介,単身者可/二人入居可/子供可,-,100368918489,-,2024/06/28,次回更新日は情報更新日より８日以内,-,1.1ヶ月,保証会社利用必 ジェイリース　月額賃料の80パーセント,-,-,-,https://suumo.jp/chintai/jnc_000091327308/?bc=100368918489
メゾン大手町,1268.817204,59000,-,-,-,-,-,バストイレ別、バルコニー、ガスコンロ対応、クロゼット、シャワー付洗面台、TVインターホン、室内洗濯置、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、駐輪場、CATV、出窓、エアコン2台、プロパンガス、BS,大分県大分市大手町２,ＪＲ日豊本線/大分駅 歩14分,2K,-,46.5,-,1階,西,アパート,軽量鉄骨,1階/2階建,築38年,1987年2月,要,敷地内8800円,相談,仲介,二人入居可/フリーレント1ヶ月,106240101,100316995493,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５５，５２０円　更新無,-,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000082899800/?bc=100316995493
皐月マンション第一大分大手町,1155.802127,25000,3000円,-,-,-,-,バルコニー、エアコン、ガスコンロ対応、フローリング、シューズボックス、エレベーター、2口コンロ、即入居可、礼金不要、敷金不要、内装リフォーム済、事務所相談、都市ガス、敷金・礼金不要,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩20分,ワンルーム,-,21.63,-,3階,-,マンション,鉄筋コン,3階/13階建,築50年,1974年8月,1.5万円2年,-,即,仲介,事務所利用相談,-,100315368527,-,2024/06/24,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 契約時に月額総賃料の100パーセント,-,ボイラー基本料 1400円、町内会費 300円,★生活保護の方、ご相談ください。 ★事務所使用可です！什器の貸出もできますのでご相談ください♪※事務所使用の場合は、家賃プラス4000円となります。,https://suumo.jp/chintai/jnc_000080267918/?bc=100315368527
カギオノハイツ,1177.955406,28000,1000円,-,-,-,-,バストイレ別、プロパンガス,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩14分,1K,-,23.77,-,1階,東,アパート,軽量鉄骨,1階/2階建,築54年,1971年1月,要,敷地内5500円,即,仲介,フリーレント1ヶ月,106120103,100383731059,-,2024/06/29,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２９，０４０円　更新無,合計8.76万円（内訳：鍵交換代17600円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用200円/月,-,https://suumo.jp/chintai/jnc_000091004591/?bc=100383731059
ダイヤモンドハウス大手町,1433.514582,29000,3000円,-,-,-,-,バルコニー、エアコン、クロゼット、フローリング、TVインターホン、南向き、角住戸、即入居可、礼金不要、敷金不要、ペット相談、保証人不要、ネット使用料不要、フリーレント、内装リフォーム済、2駅利用可、プロパンガス、敷金・礼金不要、保証会社利用可、IT重説 対応物件、初期費用カード決済可,大分県大分市大手町３,"ＪＲ日豊本線/大分駅 歩18分
ＪＲ日豊本線/牧駅 バス7分 (バス停)城崎 歩3分",1K,洋8 K,20.23,-,3階,南,マンション,鉄筋コン,3階/5階建,築39年,1985年12月,要,-,即,仲介,ペット相談/フリーレント1ヶ月,87933441,100340795508,11戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 初回：総賃料の６０％　月額保証料：総賃料の１．５７５％　更新料：１５，７５０円／年,合計3.3万円（内訳：入居パック）,水道料　２７５０円（月額）／ＰＷサポートプラス　１８８０円（月額）,［退去時費用　クリーニング費：４４，０００円※故意・過失等別途実費］・ペット可（小型犬、猫いずれか１匹まで。飼育の場合、家賃＋３，０００円・礼金１か月）・短期解約違約金あり（１年未満・・・お家賃の２か月分、２年未満・・・お家賃の１か月分）　保証会社:ライフあんしんプラス,https://suumo.jp/chintai/jnc_000072116847/?bc=100340795508
フォブール大手町,1250,40000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、オートロック、室内洗濯置、システムキッチン、南向き、温水洗浄便座、エレベーター、駐輪場、宅配ボックス、防犯カメラ、ネット使用料不要、フリーレント、事務所相談、敷地内ごみ置き場、プロパンガス,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩14分,1K,洋12,32,-,3階,南,マンション,鉄骨鉄筋,3階/11階建,築34年,1991年3月,1.8万円2年,近隣160m13200円,相談,代理,単身者可/二人入居可/事務所利用相談/フリーレント1ヶ月 当社にてお申込の方限定！,-,100350047666,48戸,2024/06/19,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 初回保証料　総賃料の50％,合計6.51万円（内訳：鍵交換費用 16500円　清掃費 44000円　投てき消火剤 7260円　サポートコール24 16500円）,定額水道料 3000円　町会費 200円（月額）,現状回復費：実費精算　水道料　2，500円（月額）　ライフサポート24　1，100円　月額総賃料の50％（初回）　月額保証料1.5％（毎月）町会費　200円（月額）※敷地外駐車場は軽自動車～小型車までに限ります。,https://suumo.jp/chintai/jnc_000085949037/?bc=100350047666
フォブール大手町,1281.25,41000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、温水洗浄便座、エレベーター、洗面所独立、駐輪場、宅配ボックス、光ファイバー、礼金不要、敷金不要、防犯カメラ、保証人不要、バイク置場、ネット使用料不要、内装リフォーム済、プロパンガス、高速ネット対応、リノベーション、敷金・礼金不要、保証会社利用可,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩13分,1K,洋12 K3,32,-,4階,南,マンション,鉄骨鉄筋,4階/11階建,築34年,1991年3月,要,-,24年7月下旬,仲介,-,59868969,100384611127,48戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 月額総賃料の50％（初回）　月額保証料1.5％（毎月）,合計6.5万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１２６２円（月額）,原状回復費:実費精算 　保証会社:(株)アプラス月額総賃料の５０％（初回）　月額保証料１．５％（毎月）,https://suumo.jp/chintai/jnc_000091169157/?bc=100384611127
フォブール大手町,1312.5,42000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、オートロック、室内洗濯置、システムキッチン、南向き、角住戸、温水洗浄便座、エレベーター、駐輪場、宅配ボックス、防犯カメラ、ネット使用料不要、フリーレント、敷地内ごみ置き場、プロパンガス,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩14分,1K,洋12,32,-,9階,南,マンション,鉄骨鉄筋,9階/11階建,築34年,1991年3月,1.8万円2年,近隣160m13200円,相談,代理,フリーレント1ヶ月 当社にてお申込の方限定！！,-,100380892025,48戸,2024/06/19,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 初回保証料　月額総賃料の50％,合計8.43万円（内訳：鍵交換費用 16500円　清掃費 44000円　投てき消火剤 7260円　サポートコール24 16500円）,定額水道料 3000円　町会費 200円（月額）,清掃費　44，000円　水道料　2，500円（月額）　サポートコール24　16，500円（初回）賃貸保証料　月額総賃料の50％（初回）　町会費　200円（月額）※敷地外駐車場は軽自動車～小型車までに限ります。,https://suumo.jp/chintai/jnc_000089993770/?bc=100380892025
フォブール大手町,1343.75,43000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、温水洗浄便座、エレベーター、洗面所独立、駐輪場、宅配ボックス、光ファイバー、即入居可、礼金不要、敷金不要、防犯カメラ、保証人不要、バイク置場、ネット使用料不要、内装リフォーム済、プロパンガス、高速ネット対応、リノベーション、敷金・礼金不要、保証会社利用可,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩13分,1K,洋12 K3,32,-,9階,南,マンション,鉄骨鉄筋,9階/11階建,築34年,1991年3月,要,-,即,仲介,-,99704473,100376663903,48戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 月額総賃料の50％（初回）　月額保証料1.5％（毎月）,合計6.14万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／保証料（毎月）　７８４円（月額）／ライフサポート２４Ｍ　１１００円（月額）,保証会社:(株)アプラス月額総賃料の５０％（初回）　月額保証料１．５％（毎月）,https://suumo.jp/chintai/jnc_000091127402/?bc=100376663903
フォブール大手町,1375,44000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、シューズボックス、システムキッチン、温水洗浄便座、エレベーター、洗面所独立、駐輪場、宅配ボックス、光ファイバー、礼金不要、最上階、敷金不要、防犯カメラ、バイク置場、ネット使用料不要、プロパンガス、高速ネット対応、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩13分,1K,洋12 K3,32,-,11階,南,マンション,鉄骨鉄筋,11階/11階建,築34年,1991年3月,要,-,25年5月中旬,仲介,-,99619032,100373155474,48戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 月額総賃料の2％、年間保証料8000円（1年毎）,合計6.65万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／事務管理手数料　５００円（月額）／その他月額費用　１９０７円（月額）,定額水道料２，０００円　※写真は別号室です　保証会社:(株)アプラス月額総賃料の５０％（初回）　月額保証料１．５％（毎月）,https://suumo.jp/chintai/jnc_000072085715/?bc=100373155474
フォブール大手町,1406.25,45000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、オートロック、室内洗濯置、システムキッチン、南向き、温水洗浄便座、エレベーター、駐輪場、宅配ボックス、最上階、防犯カメラ、ネット使用料不要、フリーレント、敷地内ごみ置き場、プロパンガス,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩14分,1K,洋12,32,-,11階,南,マンション,鉄骨鉄筋,11階/11階建,築34年,1991年3月,1.8万円2年,近隣160m13200円,即,代理,フリーレント1ヶ月 当社にてお申込の方限定！！,-,100375853810,48戸,2024/06/19,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 初回保証料　月額総賃料の50％,合計8.43万円（内訳：鍵交換費用 16500円　清掃費 44000円　投てき消火剤 7260円　サポートコール24 16500円）,定額水道料 3000円　町会費 200円（月額）,清掃費　44，000円　水道料　2，500円（月額）　サポートコール24　16，500円（初回）賃貸保証料　月額総賃料の50％（初回）　町会費　200円（月額）※敷地外駐車場は軽自動車～小型車までに限ります。,https://suumo.jp/chintai/jnc_000089889264/?bc=100375853810
リファレンス大手町,1764.234162,44000,3000円,-,8.8万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、外壁タイル張り、即入居可、BS・CS、敷金不要、対面式キッチン、防犯カメラ、照明付、グリル付、全居室洋室、単身者相談、バイク置場、全居室フローリング、CS、駅まで平坦、ネット使用料不要、フリーレント、コインランドリー、平坦地、電子キー、学生相談、3駅以上利用可、3沿線以上利用可、敷地内ごみ置き場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、BS、礼金2ヶ月、初期費用カード決済可、全室照明付,大分県大分市大手町３,"ＪＲ久大本線/大分駅 歩17分
ＪＲ豊肥本線/大分駅 歩17分
ＪＲ日豊本線/大分駅 歩17分",ワンルーム,洋9.2,24.94,-,7階,北,マンション,鉄骨鉄筋,7階/15階建,築18年,2007年1月,1.8万円2年,敷地内9900円,即,貸主,法人希望/学生希望/単身者限定/ルームシェア不可/フリーレント2ヶ月 入居月・翌月の家賃・共益費・水道代が免除されます！,7094454,100375983240,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 初回契約時：60％、契約時：総賃料の60％,合計6.6万円（内訳：入居セット　４４０００円税込　鍵交換代　２２０００円税込）,退去時清掃代　３０８００円／退去時　水道料　３３００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091335196/?bc=100375983240
リファレンス大手町,1844.426624,46000,3000円,-,9.2万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、外壁タイル張り、BS・CS、敷金不要、対面式キッチン、防犯カメラ、照明付、グリル付、全居室洋室、単身者相談、バイク置場、全居室フローリング、CS、駅まで平坦、ネット使用料不要、フリーレント、初期費用10万円以下、コインランドリー、平坦地、電子キー、電子ロック、3駅以上利用可、3沿線以上利用可、敷地内ごみ置き場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、BS、礼金2ヶ月、IT重説 対応物件、初期費用カード決済可、全室照明付,大分県大分市大手町３,"ＪＲ久大本線/大分駅 歩17分
ＪＲ豊肥本線/大分駅 歩17分
ＪＲ日豊本線/大分駅 歩17分",ワンルーム,洋9.2,24.94,-,11階,北,マンション,鉄骨鉄筋,11階/15階建,築18年,2007年1月,1.8万円2年,敷地内9900円,24年7月中旬,貸主,単身者限定/ルームシェア不可/フリーレント2ヶ月 入居月・翌月の家賃・共益費・水道代が免除されます！,10000034,100384624836,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,-,保証会社利用必 初回契約時：60％、契約時：総賃料の60％,合計6.6万円（内訳：入居セット　４４０００円税込　鍵交換代　２２０００円税込）,退去時清掃代　３０８００円／退去時　水道料　３３００円／月額,巡回管理/敷金0・礼金0プラン！入居月・翌月分は家賃・共益費・水道料が無料です♪設備万全、キレイなお部屋でこの家賃は魅力です♪ぜひお問合せください！,https://suumo.jp/chintai/jnc_000091343397/?bc=100384624836
リファレンス大手町,1566.144618,47000,3000円,-,9.4万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、温水洗浄便座、脱衣所、エレベーター、洗面所独立、2口コンロ、駐輪場、宅配ボックス、光ファイバー、外壁タイル張り、対面式キッチン、防犯カメラ、照明付、全居室洋室、バイク置場、全居室フローリング、ガスレンジ付、CS、ネット使用料不要、保証金不要、コインランドリー、学生相談、敷地内ごみ置き場、プロパンガス、BS、IT重説 対応物件、初期費用カード決済可,大分県大分市大手町３,ＪＲ日豊本線/大分駅 歩16分,ワンルーム,洋11.6,30.01,-,4階,北,マンション,鉄骨鉄筋,4階/15階建,築18年,2007年1月,1.8万円2年,-,相談,仲介,-,451-2709047,100387311610,69戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 コマーシュ福岡：賃料総額の６０％,合計6.6万円（内訳：入居セット4.4万円 鍵交換代2.2万円）,室内清掃費用　30800円　水道料　3300円（月額）　バイク置場2200円　駐輪場1100円,法人プランあり、短期解約違約金あり,https://suumo.jp/chintai/jnc_000091343400/?bc=100387311610
